country,happiness_rank,happiness_score,gdp_per_capita,health_(life_expectancy),freedom,trust_(government_corruption),year,code
Kazakhstan,60,5.903641775,1.384369016,0.43745428299999994,0.201964423,1.784892559,2017,KAZ
North Cyprus,61,5.897366465,1.186303377,0.471203625,0.266845703,1.549157619,2017,
Slovenia,62,5.84222516,1.452518821,0.572575808,0.242649093,1.3133172990000002,2017,SVN
Peru,63,5.8119467789999995,1.218770385,0.45000287899999997,0.126819715,2.20726943,2017,PER
Mauritius,64,5.729862192000001,1.20956099,0.49124732600000004,0.360933751,1.697583914,2017,MUS
Cyprus,65,5.7146926989999995,1.131363273,0.355111539,0.27125430100000003,1.621249199,2017,CYP
Estonia,66,5.688139874,1.4766711000000001,0.47913143,0.098890811,1.357508659,2017,EST
Belarus,67,5.646114244,1.444945216,0.29540026199999997,0.155137509,1.723232985,2017,BLR
Libya,68,5.676953807,1.35756433,0.46573323,0.152073666,1.8350112440000002,2017,LBY
Turkey,69,5.594864962999999,1.337753177,0.30074059999999997,0.046693042000000004,1.879277945,2017,TUR
Paraguay,70,5.57738127,1.50728488,0.47350779200000004,0.224150658,1.68533349,2017,PRY
"Hong Kong S.A.R., China",71,5.549594172999999,1.2627909179999999,0.490968645,0.374465793,0.554633141,2017,
Philippines,72,5.545335054,1.253917575,0.5852146739999999,0.19351342300000002,1.9726047519999999,2017,
Serbia,73,5.491569656,1.258189797,0.208715528,0.220125884,1.9470844269999998,2017,SRB
Jordan,74,5.448410022000001,1.239088893,0.418421149,0.17217046,1.791176558,2017,JOR
Hungary,75,5.403039709,1.343133092,0.175863519,0.078401662,1.716459274,2017,HUN
Jamaica,76,5.581398728,1.3682180640000001,0.474307239,0.233818337,1.6123256680000002,2017,JAM
Croatia,77,5.391777205,0.9679830070000001,0.255772293,0.248002976,1.854492426,2017,HRV
Kosovo,78,5.364847995,1.1378535029999999,0.260287941,0.319931448,2.010540724,2017,
China,79,5.31927809,1.160837412,0.472787708,0.028806841,1.7649385930000001,2017,CHN
Pakistan,80,5.359983641,0.67269069,0.23521526199999998,0.31544601899999997,2.79248929,2017,PAK
Indonesia,81,5.352888598,1.274444699,0.443323463,0.6117045879999999,1.429476976,2017,IDN
Venezuela,82,5.370031946,1.431337595,0.153997123,0.06501963,1.7894637580000001,2017,
Montenegro,83,5.341044441,1.238376498,0.194989055,0.197911024,1.729191542,2017,MNE
Morocco,84,5.318340965,0.774864435,0.408158332,0.032209955,2.456189394,2017,MAR
Azerbaijan,85,5.299286535,1.152400255,0.398155838,0.04526934,1.7624816890000001,2017,AZE
Dominican Republic,86,5.349060885,1.402416706,0.552589834,0.18696785,1.31946516,2017,
Greece,87,5.325246169,1.239414573,0.09573125099999999,0.0,1.749221563,2017,GRC
Lebanon,88,5.318882288,1.129624248,0.288515985,0.264450759,1.695073843,2017,LBN
Portugal,89,5.285041733,1.3670430180000002,0.4984653,0.095102713,1.107682705,2017,PRT
Bosnia and Herzegovina,90,5.2763356869999996,1.069335938,0.204403177,0.328867495,1.892172575,2017,BIH
Honduras,91,5.301582797,1.143944979,0.34807986,0.236188874,2.0658111569999997,2017,HND
Macedonia,92,5.27217264,1.2078930140000002,0.325905979,0.253760964,1.617469311,2017,
Somalia,93,5.24248371,0.721151352,0.602126956,0.291631311,3.11748457,2017,SOM
Vietnam,94,5.147280765,1.277491331,0.571055591,0.234968051,1.4623186590000001,2017,
Nigeria,95,5.209500135,1.215770483,0.394952565,0.23094719600000002,2.365390539,2017,NGA
Tajikistan,96,5.111425596,1.271463275,0.47156670700000003,0.248997644,1.84904933,2017,TJK
Bhutan,97,5.079334562,1.340126514,0.5015376810000001,0.474054545,1.140184402,2017,BTN
Kyrgyzstan,98,5.089919903,1.394238591,0.454943389,0.428580374,1.5367231369999999,2017,KGZ
Nepal,99,5.067356079,1.179283261,0.44030594799999995,0.394096166,1.891241074,2017,NPL
Mongolia,100,5.021679509,1.4930112359999999,0.394143969,0.33846423,1.111292362,2017,MNG
South Africa,101,4.929435188,1.3847886319999998,0.479246736,0.13936238,1.5109086040000002,2017,ZAF
Tunisia,102,4.884367007,0.86835146,0.28968069,0.049693357,1.89025116,2017,TUN
Palestinian Territories,103,4.881848343,1.1556471590000001,0.254711062,0.114173174,1.878890276,2017,
Egypt,104,4.82513379,0.997471392,0.282110155,0.128631443,1.7021610740000002,2017,EGY
Bulgaria,105,4.803694706,1.4343794580000002,0.289231718,0.11317769400000001,0.996139288,2017,BGR
Sierra Leone,106,4.850643335,0.984136045,0.318697691,0.293040901,2.668459892,2017,SLE
Cameroon,107,4.796540857,0.946018219,0.43038874899999996,0.236298457,2.333645582,2017,CMR
Iran,108,4.798224708,0.7115512490000001,0.249322608,0.38724291299999997,1.4987349509999999,2017,
Albania,109,4.752464006,0.803685248,0.381498635,0.201312944,1.490441561,2017,ALB
Bangladesh,110,4.6898216580000005,0.7351317409999999,0.47835665899999996,0.172255352,1.978736162,2017,BGD
Namibia,111,4.770354741,1.098470807,0.520303547,0.077133745,1.481890202,2017,NAM
Kenya,112,4.655691591,1.0679507259999999,0.452763766,0.444860309,1.651902199,2017,KEN
Mozambique,113,4.774102326,0.870701015,0.48079109200000003,0.32222810399999996,2.355650902,2017,MOZ
Myanmar,114,4.614739946,1.123235941,0.514492035,0.8380751609999999,1.115290403,2017,MMR
Senegal,115,4.601603781000001,1.179691911,0.37792226700000003,0.183468893,1.789646149,2017,SEN
Zambia,116,4.644105501,1.0031872990000001,0.461603492,0.249580145,1.826705456,2017,ZMB
Iraq,117,4.62259141,0.978613198,0.28855553300000003,0.19963726399999998,1.3189072609999999,2017,IRQ
Gabon,118,4.5573617660000005,1.155620217,0.312328577,0.043785378,1.322916269,2017,GAB
Ethiopia,119,4.5427286769999995,0.864669204,0.40884274200000004,0.31265074,2.015743732,2017,ETH
Sri Lanka,120,4.553447192,1.259976387,0.561213255,0.49086356200000003,0.419389248,2017,LKA
Armenia,121,4.466734612,1.0074837209999998,0.198303267,0.083488092,1.5214991569999998,2017,ARM
India,122,4.371522017,0.754372597,0.469987005,0.231538489,1.519117117,2017,IND
Mauritania,123,4.377163616,1.27203083,0.09609804300000001,0.20187002399999998,1.651637316,2017,MRT
Congo (Brazzaville),124,4.410053505,0.832044363,0.435025871,0.120852128,1.7241356369999998,2017,
Georgia,125,4.374933966,0.570614934,0.309410036,0.054008815,1.500137806,2017,GEO
Congo (Kinshasa),126,4.357810833,1.229023457,0.23596134800000002,0.246455833,2.2249586580000003,2017,
Mali,127,4.269670711,1.281473398,0.306613743,0.183354199,1.668190956,2017,MLI
Ivory Coast,128,4.275182563,0.90478003,0.447706193,0.20123747,1.8449642659999999,2017,
Cambodia,129,4.278517814,1.006238341,0.633375823,0.385922968,1.042941093,2017,KHM
Sudan,130,4.345747165,1.21400857,0.014995855,0.18231745100000002,1.68706584,2017,
Ghana,131,4.222707209,0.873664737,0.42302629399999997,0.25692394399999996,1.5778675080000002,2017,GHA
Ukraine,132,4.185410105,1.394537568,0.122974776,0.270061463,0.814382315,2017,UKR
Uganda,133,4.195799967,1.129827738,0.443185955,0.325766057,1.526362658,2017,UGA
Burkina Faso,134,4.124059064,1.043280005,0.32436785100000004,0.250864685,1.7272129059999999,2017,BFA
Niger,135,4.11194682,0.993025005,0.363658696,0.22867384600000001,1.8739833830000001,2017,
Malawi,136,4.077478817,0.5125688310000001,0.466914654,0.28717047,2.0817861559999997,2017,MWI
Chad,137,4.0347115239999995,0.953855872,0.162342027,0.21611385,2.071238041,2017,TCD
Zimbabwe,138,3.978699643,1.083095908,0.33638420700000005,0.189143494,1.597970247,2017,ZWE
Lesotho,139,4.044343975,1.190095186,0.39066129899999996,0.157497272,1.42983532,2017,LSO
Angola,140,3.951641935,1.10441196,0.0,0.09792649,1.614482403,2017,AGO
Afghanistan,141,3.873661415,0.581543326,0.10617952,0.311870933,2.150801182,2017,AFG
Botswana,142,3.8741226660000003,1.221554995,0.505196333,0.099348448,0.377913713,2017,BWA
Benin,143,3.745783551,0.435299844,0.425962776,0.207948461,1.885630965,2017,BEN
Madagascar,144,3.714319106,0.9130203720000001,0.189196765,0.20873253,1.584612608,2017,MDG
Haiti,145,3.734714798,0.640449822,0.030369857000000004,0.489203781,1.697167635,2017,HTI
Yemen,146,3.69275032,0.9353822470000001,0.249463722,0.10412520900000001,1.345600605,2017,YEM
South Sudan,147,3.7255385860000003,0.601323128,0.147062436,0.28567081699999997,1.879567385,2017,SSD
Liberia,148,3.6537562610000003,0.8721179370000001,0.332881182,0.266549885,1.673285961,2017,LBR
Guinea,149,3.584428129,0.791244686,0.34858751299999996,0.264815092,1.5523118969999998,2017,GIN
Togo,150,3.594038112,0.43188253,0.380426139,0.19689615100000002,1.837229252,2017,TGO
Rwanda,151,3.5430302339999997,0.945707023,0.581843853,0.252756029,0.540061235,2017,RWA
Syria,152,3.663668557,0.39610260700000005,0.081539445,0.49366372799999997,1.061573505,2017,
Tanzania,153,3.461429755,1.0419898029999999,0.390017778,0.35425636200000005,0.621130466,2017,
Burundi,154,3.074690333,0.629793584,0.059900753,0.204435185,1.6830241680000002,2017,BDI
Central African Republic,155,2.8648842689999996,0.0,0.270842046,0.280876487,2.066004753,2017,
